#  Table F110W_filter.tab  Thu 14:41:52 08-May-2014
#      WAVELENGTH      THROUGHPUT
#           angstroms                
     8768.301     0.000
     8769.014     0.001012331
     8769.726     0.001030502
     8770.438     0.001048715
     8771.151     0.001066943
     8771.863     0.001085163
     8772.576     0.001103378
     8773.284     0.001121339
     8773.992     0.001139316
     8774.705     0.001157433
     8775.418     0.001175565
     8776.126     0.001193589
      8776.84     0.001211778
     8777.558     0.001230082
     8778.266     0.001248153
     8778.979      0.00126639
     8779.692     0.001284618
     8780.401     0.001302761
     8781.114      0.00132102
     8781.828     0.001339321
     8782.536       0.0013598
     8783.255     0.001391568
     8783.969     0.001423148
     8784.678      0.00145454
     8785.392     0.001486175
     8786.105     0.001517838
     8786.814     0.001549313
     8787.528     0.001581032
     8788.242     0.001612778
     8788.951     0.001644335
     8789.665     0.001676137
     8790.385     0.001708228
     8791.094     0.001739868
     8791.809     0.001771797
     8792.522     0.001804839
     8793.232        0.001844
     8793.946     0.001883411
     8794.661      0.00192291
     8795.371     0.001962174
     8796.091     0.002002012
     8796.805     0.002041562
     8797.515     0.002080928
     8798.229     0.002120601
     8798.944     0.002160308
     8799.655     0.002199832
      8800.37     0.002239493
     8801.085     0.002279075
     8801.795     0.002318413
     8802.506     0.002359566
      8803.23     0.002413754
     8803.945      0.00246725
     8804.651     0.002520124
     8805.367     0.002573764
     8806.082     0.002627368
     8806.798     0.002681083
     8807.514     0.002734834
     8808.229     0.002788547
     8808.944     0.002842372
     8809.655     0.002895863
     8810.371     0.002949759
     8811.082     0.003003324
     8811.798     0.003057294
     8812.515     0.003113905
     8813.226     0.003186391
     8813.941     0.003259426
     8814.657     0.003332511
     8815.369     0.003405245
      8816.09     0.003478928
     8816.807     0.003552262
     8817.518     0.003625044
     8818.234     0.003698478
     8818.951     0.003771959
     8819.663     0.003844992
     8820.379     0.003918473
     8821.096     0.003992105
     8821.813     0.004065787
     8822.529     0.004144072
     8823.246     0.004248248
     8823.958     0.004351784
     8824.676     0.004456242
     8825.393     0.004560629
     8826.104     0.004664376
     8826.821     0.004768906
     8827.539     0.004873649
     8828.251     0.004977607
     8828.974     0.005083205
      8829.69     0.005188019
     8830.403     0.005292692
     8831.121     0.005398447
     8831.839     0.005504303
     8832.552     0.005615541
     8833.269      0.00575537
     8833.986     0.005895522
     8834.704     0.006035799
     8835.417     0.006175248
     8836.136     0.006315976
     8836.854     0.006456641
     8837.571     0.006597431
     8838.289      0.00673835
     8839.008     0.006879594
     8839.716     0.007018848
