#  Table f606w.UVIS1.fits[1]  Fri 11:54:28 08-Feb-2013

# row      WAVELENGTH      THROUGHPUT
#           angstroms                

     4669.     0.
     4670.     0.001005785
     4671.     0.001024847
     4672.     0.001056661
     4673.     0.001094133
     4674.     0.001131614
     4675.     0.001169105
     4676.     0.001206605
     4677.     0.001244115
     4678.     0.001281633
     4679.     0.001319161
     4680.     0.001356698
     4681.     0.001394126
     4682.      0.00145615
     4683.     0.001529231
     4684.     0.001602318
     4685.     0.001675411
     4686.     0.001748509
     4687.     0.001821613
     4688.     0.001894723
     4689.     0.001967838
     4690.     0.002040959
     4691.     0.002114086
     4692.     0.002197555
     4693.     0.002285729
     4694.      0.00237391
     4695.     0.002462098
     4696.     0.002550293
     4697.     0.002638495
     4698.     0.002726704
     4699.     0.002814919
     4700.     0.002903141
     4701.     0.002991369
     4702.     0.003068212
     4703.     0.003139808
     4704.     0.003211412
     4705.      0.00328302
     4706.     0.003354634
     4707.     0.003426254
     4708.     0.003497879
     4709.      0.00356951
     4710.     0.003641146
     4711.     0.003712788
     4712.     0.003813446
     4713.     0.003927634
     4714.     0.004041828
     4715.     0.004156031
     4716.     0.004270244
     4717.     0.004384466
     4718.     0.004498696
     4719.     0.004612935
     4720.     0.004727183
     4721.     0.004841441
     4722.     0.005095996
     4723.     0.005416687
     4724.     0.005737404
     4725.     0.006058143
     4726.     0.006378911
     4727.     0.006699701
     4728.     0.007020515
     4729.     0.007341354
     4730.     0.007662219
     4731.     0.007983111
     4732.     0.008686733
     4733.     0.009573214
     4734.      0.01045976
     4735.      0.01134638
     4736.      0.01223307
     4737.      0.01311982
     4738.      0.01400665
     4739.      0.01489354
     4740.       0.0157805
     4741.      0.01666895
     4742.       0.0181454
     4743.      0.01990614
     4744.      0.02166731
     4745.      0.02342891
     4746.      0.02519096
     4747.      0.02695343
     4748.      0.02871634
     4749.       0.0304797
     4750.      0.03224348
     4751.      0.03400481
     4752.      0.03564636
     4753.      0.03722932
     4754.      0.03881242
     4755.      0.04039564
     4756.      0.04197897
     4757.      0.04356243
     4758.      0.04514603
     4759.      0.04672973
     4760.      0.04831356
     4761.      0.04989751
     4762.      0.05109756
     4763.      0.05210762
     4764.      0.05311779
     4765.      0.05412803
     4766.      0.05513835
     4767.      0.05614872
     4768.       0.0571592
     4769.      0.05816973
     4770.      0.05918036
     4771.      0.06019107
     4772.      0.06208421
     4773.      0.06441996
     4774.       0.0667559
     4775.      0.06909204
     4776.      0.07142833
     4777.      0.07376479
     4778.      0.07610148
     4779.      0.07843833
     4780.      0.08077535
     4781.      0.08311257
     4782.      0.08740018
     4783.      0.09267694
     4784.      0.09795412
     4785.       0.1032317
     4786.       0.1085097
     4787.       0.1137881
     4788.       0.1190669
     4789.       0.1243461
     4790.       0.1296257
     4791.       0.1349058
     4792.       0.1415532
     4793.       0.1489019
     4794.       0.1562511
     4795.       0.1636009
     4796.       0.1709513
     4797.       0.1783023
     4798.       0.1856538
     4799.       0.1930059
     4800.       0.2003586
     4801.       0.2077118
     4802.       0.2134923
     4803.       0.2184563
     4804.       0.2234206
     4805.       0.2283854
     4806.       0.2333505
     4807.       0.2383159
     4808.       0.2432818
     4809.       0.2482481
     4810.       0.2532148
     4811.       0.2582037
     4812.       0.2610791
     4813.       0.2628449
     4814.        0.264611
     4815.       0.2663776
     4816.       0.2681446
     4817.        0.269912
     4818.       0.2716799
     4819.       0.2734482
     4820.       0.2752169
     4821.       0.2769626
     4822.       0.2778548
     4823.       0.2782928
     4824.        0.278731
     4825.       0.2791691
     4826.       0.2796072
     4827.       0.2800454
     4828.       0.2804836
     4829.       0.2809218
     4830.       0.2813602
     4831.       0.2817954
     4832.       0.2816963
     4833.       0.2813098
     4834.       0.2809232
     4835.       0.2805368
     4836.       0.2801503
     4837.       0.2797637
     4838.        0.279377
     4839.       0.2789904
     4840.       0.2786039
     4841.       0.2782172
     4842.       0.2778183
     4843.       0.2774125
     4844.       0.2770067
     4845.       0.2766009
     4846.        0.276195
     4847.       0.2757891
     4848.       0.2753833
     4849.       0.2749774
     4850.       0.2745715
     4851.       0.2741655
     4852.       0.2742518
     4853.       0.2746094
     4854.       0.2749668
     4855.       0.2753243
     4856.       0.2756819
     4857.       0.2760394
     4858.        0.276397
     4859.       0.2767545
     4860.       0.2771121
     4861.       0.2774696
     4862.       0.2780062
     4863.       0.2786424
     4864.       0.2792785
     4865.       0.2799147
     4866.        0.280551
     4867.       0.2811872
     4868.       0.2818236
     4869.         0.28246
     4870.       0.2830963
     4871.       0.2837327
     4872.       0.2838432
     4873.       0.2836573
     4874.       0.2834715
     4875.       0.2832855
     4876.       0.2830997
     4877.       0.2829138
     4878.       0.2827279
     4879.       0.2825419
     4880.       0.2823559
     4881.       0.2821701
     4882.       0.2815039
     4883.        0.280564
     4884.       0.2796242
     4885.       0.2786842
     4886.       0.2777443
     4887.       0.2768042
     4888.       0.2758642
     4889.        0.274924
     4890.       0.2739839
     4891.       0.2730668
     4892.       0.2722583
     4893.       0.2715123
     4894.       0.2707662
     4895.       0.2700199
     4896.       0.2692734
     4897.       0.2685268
     4898.         0.26778
     4899.        0.267033
     4900.       0.2662858
     4901.        0.265516
     4902.       0.2651802
     4903.       0.2650974
     4904.       0.2650147
     4905.       0.2649319
     4906.       0.2648492
     4907.       0.2647664
     4908.       0.2646836
     4909.       0.2646008
     4910.        0.264518
     4911.       0.2644351
     4912.       0.2646752
     4913.        0.265106
     4914.       0.2655368
     4915.       0.2659676
     4916.       0.2663984
     4917.       0.2668293
     4918.       0.2672603
