#  Table F814W_filter.tab  Thu 14:45:22 08-May-2014
#     WAVELENGTH      THROUGHPUT
#         angstroms                
     6959.506    0.
     6960.694     0.001005265
     6961.887     0.001050975
     6963.075     0.001123882
     6964.264     0.001197573
     6965.461     0.001271714
      6966.65     0.001345366
     6967.844     0.001419226
     6969.034      0.00149284
     6970.227     0.001566601
     6971.421     0.001640248
     6972.611     0.001741098
     6973.806     0.001862383
     6974.997     0.001983142
     6976.191     0.002104264
     6977.387     0.002225355
     6978.582     0.002346314
     6979.773     0.002466895
     6980.965     0.002587564
     6982.161     0.002724568
     6983.357     0.002926453
     6984.553     0.003128242
     6985.746      0.00332928
     6986.942     0.003530966
     6988.135     0.003731898
     6989.333     0.003933478
      6990.53     0.004134964
     6991.723       0.0043357
     6992.921     0.004656238
     6994.115     0.005000041
     6995.317     0.005346072
     6996.511     0.005689695
     6997.706     0.006033302
     6998.904     0.006377728
       7000.1     0.006721022
     7001.299     0.007063735
     7002.498     0.007514941
     7003.697     0.008086842
     7004.894     0.008656808
     7006.089     0.009226005
     7007.293     0.009798609
      7008.49      0.01036697
      7009.69      0.01093688
     7010.887      0.01150529
     7012.092      0.01212823
     7013.286      0.01307781
     7014.487      0.01403252
     7015.688      0.01498692
     7016.886      0.01593752
     7018.092        0.016894
     7019.291      0.01784359
     7020.493      0.01879479
     7021.691      0.01974129
     7022.891      0.02118491
     7024.097      0.02276424
     7025.297      0.02433313
       7026.5      0.02590501
       7027.7      0.02747094
     7028.904      0.02904112
     7030.107      0.03060936
     7031.308      0.03217414
     7032.513      0.03416882
     7033.713      0.03662145
     7034.918      0.03908004
     7036.123      0.04153763
     7037.329      0.04399416
      7038.53      0.04643975
     7039.732      0.04888532
     7040.937      0.05133584
     7042.144       0.0539354
      7043.35      0.05727915
     7044.553      0.06060938
     7045.759      0.06394766
     7046.962      0.06727374
     7048.169      0.07060786
     7049.377       0.0739406
     7050.581       0.0772559
     7051.788       0.0805745
     7052.992      0.08462603
     7054.201      0.08879928
     7055.409      0.09296649
     7056.614      0.09711932
     7057.822       0.1012796
     7059.027       0.1054237
     7060.237        0.109581
     7061.446        0.113742
     7062.656       0.1180929
     7063.861       0.1225582
     7065.068       0.1270234
     7066.278       0.1314975
     7067.488       0.1359698
     7068.699       0.1404383
     7069.906       0.1448905
     7071.121       0.1493532
     7072.328       0.1535885
     7073.536        0.157394
     7074.748       0.1612093
     7075.956       0.1650083
     7077.167       0.1688156
     7078.376       0.1726083
     7079.592       0.1764213
     7080.801       0.1802201
      7082.01       0.1839676
     7083.227       0.1866531
     7084.437       0.1893201
      7085.65       0.1919945
      7086.86       0.1946571
     7088.074        0.197327
     7089.288       0.1999957
     7090.502       0.2026534
     7091.713       0.2052885
     7092.924       0.2071053
     7094.139       0.2087241
     7095.354       0.2103405
      7096.57       0.2119565
     7097.781       0.2135648
     7098.997       0.2151772
     7100.209       0.2167874
     7101.426       0.2184203
     7102.642       0.2196175
     7103.855       0.2204744
     7105.072        0.221333
     7106.285       0.2221883
     7107.502       0.2230459
      7108.72       0.2239031
     7109.934       0.2247567
     7111.151       0.2256123
     7112.365       0.2262992
     7113.584       0.2266574
     7114.802       0.2270148
     7116.021       0.2273722
     7117.236       0.2277282
     7118.451       0.2280838
     7119.675       0.2284414
      7120.89       0.2287786
      7122.11       0.2290789
     7123.326       0.2291511
     7124.546       0.2292234
     7125.763       0.2292953
     7126.983       0.2293673
     7128.204       0.2294392
