# Average Spectral response curve for IRAC 3.6 micron array
# Wave     Spectral Response 
# Angstroms  electrons / photon 
30810.600000    0.000490
30828.900000    0.000586
30847.300000    0.000453
30865.600000    0.000458
30884.000000    0.000439
30902.400000    0.000531
30920.800000    0.000641
30939.300000    0.000442
30957.800000    0.000535
30976.200000    0.000655
30994.800000    0.000525
31013.300000    0.000631
31031.900000    0.000618
31050.400000    0.000496
31069.000000    0.000700
31087.700000    0.000895
31106.300000    0.000873
31125.000000    0.001045
31143.700000    0.001294
31162.400000    0.001390
31181.100000    0.001683
31199.900000    0.002132
31218.700000    0.002413
31237.500000    0.002782
31256.300000    0.003343
31275.200000    0.003846
31294.000000    0.004596
31312.900000    0.005760
31331.900000    0.006889
31350.800000    0.008313
31369.800000    0.010170
31388.800000    0.012180
31407.800000    0.014820
31426.800000    0.018160
31445.900000    0.021810
31464.900000    0.026460
31484.100000    0.031970
31503.200000    0.038570
31522.300000    0.046500
31541.500000    0.055220
31560.700000    0.065330
31579.900000    0.077400
31599.200000    0.091470
31618.400000    0.106100
31637.700000    0.122000
31657.000000    0.140600
31676.400000    0.158900
31695.700000    0.178800
31715.100000    0.200200
31734.500000    0.220500
31754.000000    0.241200
31773.400000    0.261800
31792.900000    0.282200
31812.400000    0.298600
31831.900000    0.314000
31851.500000    0.330400
31871.100000    0.343100
31890.700000    0.352900
31910.300000    0.360600
31929.900000    0.368500
31949.600000    0.372300
31969.300000    0.373700
31989.000000    0.375000
32008.800000    0.374400
32028.600000    0.371800
32048.400000    0.370300
32068.200000    0.368600
32088.000000    0.365300
32107.900000    0.361900
32127.800000    0.358000
32147.700000    0.354100
32167.600000    0.351300
32187.600000    0.349500
32207.600000    0.348400
32227.600000    0.345200
32247.700000    0.343700
32267.700000    0.344600
32287.800000    0.343600
32307.900000    0.343600
32328.100000    0.344300
32348.200000    0.344800
32368.400000    0.347400
32388.700000    0.349600
32408.900000    0.351200
32429.200000    0.354100
32449.500000    0.357800
32469.800000    0.362300
32490.100000    0.366100
32510.500000    0.369800
32530.900000    0.374800
32551.300000    0.379500
32571.800000    0.384100
32592.200000    0.389500
32612.700000    0.393600
32633.200000    0.397400
32653.800000    0.400700
32674.400000    0.403400
32695.000000    0.406500
32715.600000    0.410400
